H_2,CH_4,C_2H_2,C_2H_4,C_2H_6,CO,CO_2,label
8200.0,3790.0,5830.0,4620.0,250.0,31.0,85.0,1
260.0,215.0,277.0,334.0,35.0,130.0,416.0,1
75.0,15.0,26.0,14.0,7.0,105.0,322.0,1
530.0,345.0,250.0,266.0,85.0,3900.0,20000.0,1
60.0,5.0,21.0,21.0,2.0,188.0,2510.0,1
90.0,28.0,32.0,31.0,8.0,1380.0,11700.0,1
220.0,77.0,240.0,170.0,22.0,1800.0,13800.0,1
5900.0,1500.0,2300.0,1200.0,68.0,750.0,335.0,1
420.0,250.0,800.0,530.0,41.0,300.0,751.0,1
2800.0,2800.0,3600.0,3500.0,234.0,92.0,718.0,1
99.0,170.0,190.0,200.0,20.0,140.0,1160.0,1
310.0,230.0,760.0,610.0,54.0,150.0,631.0,1
800.0,160.0,600.0,260.0,23.0,490.0,690.0,1
1500.0,395.0,323.0,395.0,28.0,365.0,576.0,1
20000.0,13000.0,57000.0,29000.0,1850.0,2600.0,2430.0,1
305.0,85.0,130.0,197.0,25.0,813.0,8380.0,1
1900.0,530.0,434.0,383.0,35.0,1890.0,7570.0,1
110.0,62.0,250.0,140.0,90.0,680.0,6470.0,1
3700.0,1690.0,3270.0,2810.0,128.0,22.0,86.0,1
2770.0,660.0,763.0,712.0,54.0,522.0,1490.0,1
245.0,120.0,167.0,131.0,18.0,829.0,4250.0,1
1170.0,255.0,325.0,312.0,18.0,5.0,1800.0,1
4419.0,3564.0,2025.0,2861.0,668.0,909.0,9082.0,1
810.0,580.0,490.0,570.0,111.0,1100.0,6800.0,1
5000.0,1200.0,1100.0,1000.0,83.0,140.0,265.0,1
10000.0,6730.0,10400.0,7330.0,345.0,1980.0,3830.0,1
1570.0,735.0,1740.0,1330.0,87.0,711.0,4240.0,1
1270.0,3450.0,8.0,1390.0,520.0,483.0,44500.0,1
3420.0,7870.0,33.0,6990.0,1500.0,573.0,4640.0,1
360.0,610.0,9.0,260.0,259.0,12000.0,74200.0,1
1.0,27.0,1.0,4.0,49.0,53.0,254.0,1
3675.0,6392.0,5.0,7691.0,2500.0,101.0,833.0,1
48.0,610.0,0.0,10.0,29.0,1900.0,970.0,1
12.0,18.0,0.0,4.0,4.0,559.0,1710.0,1
66.0,60.0,0.0,7.0,2.0,76.0,90.0,1
1450.0,940.0,61.0,322.0,211.0,2420.0,3560.0,1
0.0,18900.0,330.0,540.0,410.0,3900.0,710.0,1
960.0,4000.0,6.0,1560.0,1290.0,15800.0,50300.0,1
24700.0,61000.0,1560.0,42100.0,26300.0,14400.0,30400.0,1
14.0,44.0,1.0,7.0,124.0,128.0,2746.0,1
2031.0,149.0,0.0,3.0,20.0,556.0,3008.0,1
480.0,1075.0,0.0,1132.0,298.0,464.0,1000.0,1
40000.0,400.0,6.0,600.0,70.0,800.0,218.0,1
8800.0,64064.0,0.0,95650.0,72128.0,290.0,90300.0,1
6709.0,10500.0,750.0,17700.0,1400.0,290.0,1500.0,1
1100.0,1600.0,26.0,2010.0,221.0,0.0,1430.0,1
290.0,966.0,57.0,1810.0,299.0,72.0,756.0,1
2500.0,10500.0,6.0,13500.0,4790.0,530.0,2310.0,1
1860.0,4980.0,1600.0,10700.0,0.0,158.0,1300.0,1
860.0,1670.0,40.0,2050.0,30.0,10.0,690.0,1
150.0,22.0,11.0,60.0,9.0,0.0,0.0,1
400.0,940.0,24.0,820.0,210.0,390.0,1700.0,1
6.0,2990.0,67.0,26076.0,29990.0,6.0,26.0,1
100.0,200.0,11.0,670.0,110.0,100.0,650.0,1
290.0,1260.0,8.0,820.0,231.0,228.0,826.0,1
1550.0,2740.0,184.0,5450.0,816.0,1140.0,9360.0,1
3910.0,4290.0,1230.0,6040.0,626.0,1800.0,11500.0,1
12705.0,23498.0,5188.0,34257.0,6047.0,4004.0,8539.0,1
1.0,8.0,6.0,100.0,8.0,300.0,5130.0,1
300.0,700.0,36.0,1700.0,280.0,760.0,9250.0,1
107.0,143.0,2.0,222.0,34.0,193.0,1330.0,1
134.0,134.0,0.0,45.0,157.0,1008.0,10528.0,0
100.0,200.0,20.0,200.0,200.0,1000.0,10000.0,0
0.0,225.0,3.0,110.0,225.0,785.0,4500.0,0
105.0,125.0,10.0,166.0,71.0,2000.0,18000.0,0
100.0,50.0,15.0,50.0,65.0,500.0,5000.0,0
100.0,70.0,10.0,170.0,70.0,1000.0,10000.0,0
150.0,0.0,8.0,220.0,0.0,0.0,0.0,0
0.0,224.0,5.0,112.0,224.0,2150.0,6720.0,0
200.0,50.0,3.0,200.0,50.0,1000.0,20000.0,0
85.0,0.0,70.0,35.0,80.0,0.0,0.0,0
175.0,0.0,3.0,375.0,100.0,0.0,0.0,0
80.0,0.0,4.0,100.0,200.0,800.0,0.0,0
150.0,0.0,15.0,100.0,200.0,1000.0,10000.0,0
125.0,100.0,20.0,150.0,100.0,500.0,6000.0,0
200.0,3.0,0.0,200.0,50.0,1000.0,20000.0,0
50.0,30.0,5.0,0.0,0.0,0.0,0.0,0
100.0,70.0,10.0,170.0,70.0,1000.0,10000.0,0
95.0,280.0,10.0,150.0,250.0,700.0,8000.0,0
60.0,40.0,3.0,60.0,50.0,540.0,5100.0,0
84.0,79.0,56.0,166.0,52.0,673.0,8068.0,0
66.0,111.0,15.0,110.0,90.0,865.0,12670.0,0
235.0,180.0,336.0,145.0,270.0,672.0,4256.0,0
250.0,150.0,150.0,250.0,150.0,1000.0,10000.0,0
150.0,0.0,150.0,220.0,0.0,0.0,0.0,0
200.0,50.0,30.0,200.0,50.0,1000.0,20000.0,0
134.0,224.0,154.0,224.0,550.0,672.0,3584.0,0
250.0,0.0,280.0,150.0,15.0,0.0,0.0,0
150.0,0.0,22.0,320.0,80.0,0.0,0.0,0
0.0,150.0,150.0,200.0,550.0,800.0,5000.0,0
150.0,0.0,150.0,200.0,200.0,1000.0,10000.0,0
200.0,100.0,50.0,100.0,100.0,500.0,10000.0,0
250.0,190.0,180.0,250.0,180.0,1000.0,10000.0,0
75.0,35.0,80.0,110.0,50.0,400.0,5300.0,0
151.0,131.0,266.0,250.0,73.0,848.0,11818.0,0
8288.0,1120.0,19712.0,1344.0,784.0,448.0,5600.0,0
31.0,6.0,1.0,3.0,8.0,260.0,705.0,0
22.0,7.0,0.0,5.0,4.0,180.0,650.0,0
80.0,18.0,1.0,0.0,20.0,0.0,0.0,0
170.0,16.0,1.0,0.0,8.0,0.0,0.0,0
50.0,10.0,5.0,10.0,10.0,1000.0,10000.0,0
120.0,0.0,5.0,10.0,0.0,0.0,0.0,0
150.0,0.0,3.0,8.0,0.0,0.0,0.0,0
85.0,0.0,5.0,9.0,0.0,0.0,0.0,0
70.0,0.0,4.0,30.0,0.0,0.0,0.0,0
135.0,0.0,4.0,30.0,0.0,0.0,0.0,0
1000.0,0.0,16.0,20.0,0.0,0.0,0.0,0
6.0,11.0,1.0,3.0,7.0,250.0,800.0,0
150.0,120.0,1.0,40.0,130.0,1100.0,4000.0,0
20.0,30.0,2.0,4.0,25.0,330.0,900.0,0
300.0,30.0,2.0,4.0,25.0,330.0,900.0,0
