H_2,CH_4,C_2H_2,C_2H_4,C_2H_6,CO,CO_2,label
8200.0,3790.0,5830.0,4620.0,250.0,31.0,85.0,1
260.0,215.0,277.0,334.0,35.0,130.0,416.0,1
75.0,15.0,26.0,14.0,7.0,105.0,322.0,1
530.0,345.0,250.0,266.0,85.0,3900.0,20000.0,1
60.0,5.0,21.0,21.0,2.0,188.0,2510.0,1
90.0,28.0,32.0,31.0,8.0,1380.0,11700.0,1
220.0,77.0,240.0,170.0,22.0,1800.0,13800.0,1
5900.0,1500.0,2300.0,1200.0,68.0,750.0,335.0,1
420.0,250.0,800.0,530.0,41.0,300.0,751.0,1
2800.0,2800.0,3600.0,3500.0,234.0,92.0,718.0,1
99.0,170.0,190.0,200.0,20.0,140.0,1160.0,1
310.0,230.0,760.0,610.0,54.0,150.0,631.0,1
800.0,160.0,600.0,260.0,23.0,490.0,690.0,1
1500.0,395.0,323.0,395.0,28.0,365.0,576.0,1
20000.0,13000.0,57000.0,29000.0,1850.0,2600.0,2430.0,1
305.0,85.0,130.0,197.0,25.0,813.0,8380.0,1
1900.0,530.0,434.0,383.0,35.0,1890.0,7570.0,1
110.0,62.0,250.0,140.0,90.0,680.0,6470.0,1
3700.0,1690.0,3270.0,2810.0,128.0,22.0,86.0,1
2770.0,660.0,763.0,712.0,54.0,522.0,1490.0,1
245.0,120.0,167.0,131.0,18.0,829.0,4250.0,1
1170.0,255.0,325.0,312.0,18.0,5.0,1800.0,1
4419.0,3564.0,2025.0,2861.0,668.0,909.0,9082.0,1
810.0,580.0,490.0,570.0,111.0,1100.0,6800.0,1
5000.0,1200.0,1100.0,1000.0,83.0,140.0,265.0,1
10000.0,6730.0,10400.0,7330.0,345.0,1980.0,3830.0,1
1570.0,735.0,1740.0,1330.0,87.0,711.0,4240.0,1
1270.0,3450.0,8.0,1390.0,520.0,483.0,44500.0,1
3420.0,7870.0,33.0,6990.0,1500.0,573.0,4640.0,1
360.0,610.0,9.0,260.0,259.0,12000.0,74200.0,1
1.0,27.0,1.0,4.0,49.0,53.0,254.0,1
3675.0,6392.0,5.0,7691.0,2500.0,101.0,833.0,1
48.0,610.0,0.0,10.0,29.0,1900.0,970.0,1
12.0,18.0,0.0,4.0,4.0,559.0,1710.0,1
66.0,60.0,0.0,7.0,2.0,76.0,90.0,1
1450.0,940.0,61.0,322.0,211.0,2420.0,3560.0,1
0.0,18900.0,330.0,540.0,410.0,3900.0,710.0,1
960.0,4000.0,6.0,1560.0,1290.0,15800.0,50300.0,1
24700.0,61000.0,1560.0,42100.0,26300.0,14400.0,30400.0,1
14.0,44.0,1.0,7.0,124.0,128.0,2746.0,1
2031.0,149.0,0.0,3.0,20.0,556.0,3008.0,1
480.0,1075.0,0.0,1132.0,298.0,464.0,1000.0,1
40000.0,400.0,6.0,600.0,70.0,800.0,218.0,1
8800.0,64064.0,0.0,95650.0,72128.0,290.0,90300.0,1
6709.0,10500.0,750.0,17700.0,1400.0,290.0,1500.0,1
1100.0,1600.0,26.0,2010.0,221.0,0.0,1430.0,1
290.0,966.0,57.0,1810.0,299.0,72.0,756.0,1
2500.0,10500.0,6.0,13500.0,4790.0,530.0,2310.0,1
1860.0,4980.0,1600.0,10700.0,0.0,158.0,1300.0,1
860.0,1670.0,40.0,2050.0,30.0,10.0,690.0,1
150.0,22.0,11.0,60.0,9.0,0.0,0.0,1
400.0,940.0,24.0,820.0,210.0,390.0,1700.0,1
6.0,2990.0,67.0,26076.0,29990.0,6.0,26.0,1
100.0,200.0,11.0,670.0,110.0,100.0,650.0,1
290.0,1260.0,8.0,820.0,231.0,228.0,826.0,1
1550.0,2740.0,184.0,5450.0,816.0,1140.0,9360.0,1
3910.0,4290.0,1230.0,6040.0,626.0,1800.0,11500.0,1
12705.0,23498.0,5188.0,34257.0,6047.0,4004.0,8539.0,1
1.0,8.0,6.0,100.0,8.0,300.0,5130.0,1
300.0,700.0,36.0,1700.0,280.0,760.0,9250.0,1
107.0,143.0,2.0,222.0,34.0,193.0,1330.0,1
6.8,1.13,7.34,8.22,1.46,157.2,2441.0,0
7.47,3.0,7.43,7.98,2.5,191.1,2433.0,0
13.4,1.6,13.6,6.6,2.0,133.8,4806.0,0
29.2,222.94,3.4,29.1,11.93,387.48,2877.04,0
22.95,23.65,29.0,0.0,1.42,213.13,2316.63,0
232.99,1108.39,0.26,4.06,10.25,236.21,2238.94,0
150.65,1002.85,0.3,4.69,4.46,761.7,2934.0,0
26.21,98.97,1.18,27.59,0.21,772.18,2848.72,0
14.0,0.0,0.0,8.0,0.0,385.0,4994.0,0
0.0,3.28,1.4,8.66,0.62,60.51,4101.88,0
0.0,4.01,0.0,79.28,0.0,158.96,2140.02,0
5.8,2.1,0.1,11.2,1.3,183.3,6675.9,0
9.44,4.83,0.0,4.11,0.0,383.56,1713.78,0
6.1,1.59,0.0,15.3,2.4,144.0,6500.0,0
7.2,1.92,1.02,17.6,2.6,161.0,6900.0,0
0.0,0.0,0.0,4.71,0.0,64.71,1879.18,0
6.4,1.78,0.0,14.0,2.2,158.0,6500.0,0
0.0,13.21,9.31,116.61,8.41,157.97,1060.97,0
17.3,7.14,9.15,94.86,6.97,43.73,995.01,0
29.01,0.0,0.0,73.32,0.0,176.89,1705.88,0
4.93,36.35,13.31,179.41,14.08,72.12,1467.01,0
0.0,136.94,0.0,27.0,5.0,227.38,4696.04,0
0.0,21.44,8.69,133.22,10.09,68.62,1281.29,0
7.05,81.31,18.34,268.22,0.0,0.0,2544.8,0
0.0,20.39,9.05,129.25,10.27,57.89,1122.1,0
6.7,1.97,0.0,370.0,1.0,300.0,4800.0,0
3319.62,152.16,0.0,0.0,6.88,29.28,240.77,0
14.6,2.7,0.0,4.2,1.2,311.2,3470.3,0
17.37,9.64,9.12,89.98,6.64,37.42,922.35,0
8.8,88.0,30.0,850.0,88.0,250.0,5100.0,0
6.0,64.0,33.0,830.0,85.0,230.0,4700.0,0
28.0,3.1,0.28,0.28,1.4,115.0,1230.0,0
9.8,129.0,30.0,890.0,92.0,250.0,4600.0,0
10.0,1.0,1.0,1.0,1.0,1.0,370.0,0
20.04,5.63,0.0,3.0,0.0,104.84,1148.25,0
7.1,2.3,0.0,204.0,1.54,290.0,6400.0,0
16.67,185.79,36.0,0.0,1.47,359.95,3538.84,0
28.94,50.42,24.96,0.42,1.58,522.29,3922.59,0
99.64,118.19,45.53,22.31,2.81,1017.02,6828.44,0
6300.0,460.0,1.08,2.6,62.0,145.0,1230.0,0
19.7,3.7,0.0,4.4,1.9,280.0,3200.0,0
41.87,40.3,63.85,0.0,4.27,610.34,4906.0,0
5.0,4.76,15.2,15.02,1.94,398.85,4078.05,0
38.49,42.76,50.64,0.0,2.03,627.1,4809.47,0
38.0,22.0,0.0,19.8,7.9,1310.0,12300.0,0
7900.0,480.0,1.04,2.5,61.0,144.0,1150.0,0
26.37,41.43,40.55,0.0,0.84,473.95,3884.78,0
49.11,735.74,0.0,6.39,10.16,84.64,2525.63,0
7.7,30.1,19.2,0.0,1.4,322.2,5174.2,0
99.63,116.89,43.08,21.45,2.53,884.17,6014.19,0
99.34,52.26,36.57,17.03,1.88,528.75,5165.57,0
10.0,6.0,1.0,1.0,1.0,115.0,3450.0,0
80.47,68.31,42.76,29.1,4.75,638.1,5353.15,0
34.32,45.75,34.0,0.0,1.47,520.36,4056.87,0
17.3,2.6,0.0,4.6,1.9,260.0,3200.0,0
29.09,24.86,43.0,0.0,1.53,431.59,3859.0,0
4.8,10.9,0.0,1.1,2.2,243.8,5644.3,0
41.94,41.38,48.26,0.0,1.21,566.34,4569.9,0
24.08,40.57,41.2,0.0,1.25,555.67,3780.91,0
22.0,2.8,0.0,4.0,1.4,270.0,3100.0,0
10.0,6.0,1.0,1.0,1.0,115.0,3500.0,0
173.94,682.98,0.0,4.91,0.0,407.7,3598.63,0
32.54,32.38,46.21,0.0,3.71,395.96,3509.1,0
9.84,0.81,2.16,2.5,0.6,21.56,1099.53,0
36.28,30.5,38.53,0.0,1.05,362.61,3288.86,0
9.1,12.0,0.0,0.4,1.8,243.9,4967.1,0
12.34,8.1,12.78,12.35,2.81,528.47,3686.43,0
162.22,628.22,0.0,8.1,3.5,356.79,3468.23,0
42.0,24.0,1.0,21.6,9.5,1350.0,15700.0,0
8.72,5.81,0.0,14.03,2.08,292.08,4466.08,0
14.8,34.0,28.0,2.1,3.8,410.0,4900.0,0
33.0,21.0,0.0,21.6,9.0,1220.0,15600.0,0
42.0,22.9,1.0,21.7,9.6,1210.0,14300.0,0
246.84,1079.71,0.0,9.12,3.92,682.43,4385.08,0
83.2,125.68,0.0,5.15,2.76,105.37,1946.82,0
10.0,2.0,1.0,1.0,1.0,3.0,265.0,0
23.0,259.71,40.62,0.0,1.35,536.18,3684.87,0
65.61,427.42,0.0,47.46,13.82,1046.48,5208.36,0
27.11,31.45,39.38,0.0,1.25,405.09,3556.53,0
8.3,15.9,0.0,1.0,3.9,337.2,6190.0,0
87.0,452.2,0.0,1.6,4.7,251.5,4819.2,0
195.0,243.91,0.0,3.32,7.33,43.3,1770.0,0
12.99,20.14,0.0,16.2,3.72,626.25,4691.07,0
20.0,28.0,38.0,0.0,1.0,330.0,3353.0,0
11.1,3.2,2.0,8.2,1.2,457.2,5300.1,0
10.0,1.0,1.0,1.0,1.0,4.0,265.0,0
10.0,8.0,1.0,1.0,2.0,150.0,4360.0,0
9.2,5.0,0.3,13.0,1.6,431.7,6092.8,0
3.0,1.5,1.6,12.5,0.2,136.8,2321.9,0
0.0,2.27,0.52,3.08,0.47,52.91,1486.34,0
18.53,230.05,0.0,24.33,7.3,364.02,3186.33,0
396.54,865.76,0.0,4.71,11.01,191.21,2996.07,0
0.0,2.26,0.8,7.36,1.75,115.36,2171.38,0
31.29,270.13,0.0,47.84,13.52,685.76,4731.17,0
89.29,706.59,0.0,4.73,3.44,452.8,2902.16,0
6.44,19.58,0.0,14.97,2.64,475.29,3702.6,0
59.12,50.98,34.93,19.04,2.03,457.45,4255.12,0
34.7,19.3,0.0,9.1,5.7,900.1,4670.6,0
76.74,63.33,43.26,21.1,2.47,669.99,5758.29,0
0.0,10.29,0.0,9.31,0.73,117.31,2513.62,0
68.22,58.28,40.17,21.24,2.18,654.03,5389.04,0
232.36,835.35,0.0,9.6,4.9,829.59,4242.29,0
159.1,377.0,0.0,1.7,5.5,350.3,4594.1,0
224.18,413.55,11.43,8.06,4.55,429.8,3440.87,0
15.79,19.36,0.0,18.94,0.0,199.96,2204.1,0
203.22,519.71,0.0,0.0,2.93,301.99,1503.85,0
0.0,8.2,0.0,0.8,2.2,159.5,3933.0,0
38.14,285.19,0.0,35.68,10.45,816.53,3990.15,0
34.84,227.45,0.0,2.89,2.74,249.49,1648.9,0
35.12,480.9,0.0,33.62,9.68,605.78,3648.54,0
6.27,15.18,12.89,0.0,1.08,140.16,1855.81,0
5.0,1.07,0.0,14.51,42.4,108.14,3.57,0
210.5,673.9,0.0,2.2,16.3,114.7,4007.9,0
2.5,4.1,0.0,12.5,3.7,198.0,6128.9,0
18.14,26.6,43.75,1.91,2.95,251.0,2854.0,0
1.3,5.4,0.0,0.0,0.2,77.2,461.1,0
0.0,16.17,21.29,0.0,0.77,142.54,1725.03,0
2.5,2.0,0.0,0.0,0.1,109.4,3371.7,0
150.73,250.85,0.0,0.0,2.07,187.76,1915.17,0
7.0,4.0,1.0,4.0,1.0,286.0,2245.0,0
14.76,34.42,27.03,0.0,1.2,161.79,2080.43,0
137.84,303.67,0.0,7.79,3.37,239.92,3339.79,0
16.3,206.1,0.3,0.0,6.0,406.5,5452.4,0
77.47,7.27,0.0,0.51,2.1,1.34,57.48,0
296.24,699.07,0.0,7.75,10.26,114.06,2488.74,0
13.7,32.0,30.0,1.9,3.2,340.0,5200.0,0
93.0,94.0,42.0,21.8,7.4,800.0,5600.0,0
49.6,4.3,0.0,3.8,2.2,427.8,6991.2,0
12.49,139.71,0.0,5.2,0.0,284.02,1804.33,0
298.51,538.69,0.0,5.36,8.49,103.15,2296.61,0
8.56,6.32,0.66,0.0,0.4,462.27,941.69,0
0.0,4.6,0.0,3.17,0.0,148.58,985.93,0
0.0,1.7,0.0,0.0,0.1,49.7,1588.6,0
10.4,5.6,2.4,10.8,3.3,420.0,5800.0,0
71.93,199.13,0.0,4.14,0.88,77.0,811.01,0
15.39,0.73,0.27,0.83,0.16,16.64,354.86,0
18.59,230.48,0.0,24.26,7.94,323.39,3106.9,0
327.5,7.5,0.0,10.9,64.8,468.2,5840.9,0
0.0,5.49,0.0,0.0,0.0,20.43,597.59,0
146.28,342.85,0.0,4.27,3.03,296.91,2866.87,0
18.63,145.28,0.0,15.38,7.0,265.7,2453.03,0
5.0,0.0,0.79,9.2,11.8,73.03,36963.67,0
36.3,43.56,0.0,0.0,0.0,2.17,36.46,0
173.16,535.31,0.0,6.66,3.27,320.45,3280.77,0
40.4,5.4,0.0,12.0,2.2,1013.7,8356.7,0
43.0,5.1,0.0,7.0,4.6,430.0,8400.0,0
188.58,454.16,0.0,6.94,3.54,322.69,3450.02,0
179.98,143.28,0.0,0.0,1.15,50.3,701.69,0
161.43,334.69,0.0,7.84,3.09,256.37,3421.32,0
11.1,4.1,2.3,10.9,2.9,460.0,6100.0,0
32.0,8.0,0.0,10.5,5.0,880.0,5200.0,0
7.7,13.8,1.0,2.0,4.1,210.0,2900.0,0
0.0,5.82,0.0,0.0,0.0,161.5,1281.03,0
155.93,164.91,0.0,4.04,2.77,213.81,2411.02,0
34.69,20.46,28.88,2.56,1.38,295.06,2764.16,0
15.0,1.0,0.0,2.0,0.0,237.0,3159.0,0
6.0,2.9,2.4,9.5,1.7,310.0,4100.0,0
20.25,100.05,0.0,8.73,0.0,546.54,2002.41,0
26.47,205.3,0.0,0.12,0.0,372.2,2985.16,0
16.63,7.24,0.0,9.08,0.0,90.39,1695.69,0
247.53,639.25,0.0,3.81,8.78,85.63,2158.28,0
135.96,175.23,0.0,0.0,2.46,126.74,1346.44,0
19.52,85.32,0.0,18.85,5.98,145.87,2084.62,0
29.47,237.18,0.0,23.72,7.51,503.91,3108.79,0
9.16,14.48,0.0,0.57,1.65,509.18,872.0,0
46.36,88.05,0.0,0.0,0.19,437.75,3032.85,0
53.78,267.2,0.0,0.0,1.21,107.13,1100.91,0
52.66,329.58,0.0,1.95,8.5,211.0,3549.0,0
16.72,23.56,0.0,2.67,7.29,551.0,8221.0,0
24.8,11.0,0.0,11.0,7.2,770.0,3600.0,0
14.8,6.4,1.02,16.2,3.4,520.0,7000.0,0
10.4,16.3,0.0,1.8,4.1,280.0,6600.0,0
251.14,531.94,0.0,7.15,8.47,91.24,2151.11,0
0.0,4.3,11.91,0.0,0.75,113.4,1784.25,0
10.92,11.64,0.0,1.14,3.23,251.0,5250.0,0
11.7,17.6,0.0,2.6,6.8,370.0,8000.0,0
14.4,17.3,1.12,15.9,7.5,520.0,6700.0,0
7.5,3.3,2.4,9.6,3.1,310.0,5100.0,0
237.22,379.03,0.0,7.7,3.95,349.75,3354.1,0
20.02,32.41,43.21,0.0,1.34,375.5,3612.92,0
17.18,17.68,0.0,3.08,17.59,37.58,1116.13,0
41.86,143.76,0.0,0.0,5.24,110.39,1124.03,0
261.64,515.08,0.0,4.21,8.84,96.6,2218.73,0
12.81,77.93,0.0,5.21,28.32,64.43,1861.21,0
0.0,6.0,0.0,0.0,0.0,81.0,936.6,0
78.56,329.62,0.0,0.0,2.09,88.73,1233.54,0
233.0,700.0,0.0,2.6,24.0,123.0,4300.0,0
54.0,4.4,0.0,5.4,3.3,500.0,8400.0,0
28.0,31.0,0.0,15.6,11.8,940.0,7500.0,0
6.9,12.2,1.0,2.4,4.3,270.0,4800.0,0
8.1,11.4,1.0,2.2,4.2,230.0,3600.0,0
10.3,15.3,1.0,2.5,6.5,290.0,3700.0,0
6.83,21.98,0.0,5.32,0.57,207.33,1759.64,0
42.0,106.0,1.0,7.1,152.0,220.0,6400.0,0
4.6,2.0,0.0,0.0,0.4,109.4,2724.9,0
10.61,19.65,30.28,141.81,21.23,153.32,4829.73,0
196.34,348.83,0.0,9.07,7.48,51.7,1717.96,0
5.0,0.9,17.62,13.29,0.0,76.33,3300.19,0
0.0,0.0,0.0,0.0,0.0,9.75,253.67,0
26.0,2.0,0.0,9.0,0.0,256.0,3835.0,0
0.0,2.0,0.0,0.0,0.0,65.0,903.0,0
48.0,116.0,0.0,7.7,172.0,220.0,6500.0,0
9.0,1.83,0.0,1.37,1.13,130.0,3600.0,0
18.86,116.34,0.0,6.88,41.26,308.71,2952.07,0
30.37,151.51,32.84,0.0,7.82,399.99,3010.73,0
54.73,101.33,0.0,13.13,2.48,166.44,1280.19,0
149.89,405.91,0.0,10.74,4.99,284.99,3187.83,0
144.34,125.66,2.43,2.83,23.99,92.46,1224.15,0
62.0,8.0,0.0,7.0,5.0,644.0,2365.0,0
16.0,6.2,0.0,11.7,3.0,710.0,6000.0,0
32.0,17.6,0.0,19.8,9.2,960.0,9300.0,0
0.0,4.94,0.0,0.0,0.54,253.54,2472.79,0
39.86,0.0,0.0,0.0,0.0,39.75,668.19,0
19.0,2.0,0.0,2.0,0.0,85.0,895.0,0
8.1,3.8,0.0,16.0,2.2,370.0,5000.0,0
9.5,1.93,0.0,2.2,2.4,137.0,3400.0,0
289.23,508.41,0.0,14.97,6.22,517.86,3845.54,0
0.0,0.0,0.0,0.0,0.0,0.0,186.0,0
111.29,407.01,0.0,0.0,3.29,215.38,2623.88,0
4.03,11.51,0.0,4.67,3.87,509.5,1487.11,0
0.0,0.0,0.0,0.0,0.0,10.58,152.97,0
38.16,7.49,3.8,0.99,0.62,144.47,451.98,0
232.32,412.13,0.0,2.72,11.7,508.0,4861.0,0
80.5,261.3,0.0,0.1,2.0,117.6,2045.3,0
55.37,49.59,1.88,3.7,48.85,366.18,9908.9,0
7.0,0.0,0.0,0.0,0.0,71.0,716.0,0
21.7,6.8,0.0,12.0,2.5,800.0,6600.0,0
15.7,12.5,0.0,17.4,5.8,760.0,7000.0,0
35.0,4.2,0.0,4.9,2.8,350.0,5500.0,0
5.0,1.06,1.9,16.9,0.0,103.0,2500.0,0
16.62,0.0,0.0,0.0,0.0,44.14,627.77,0
26.18,233.17,7.81,34.01,9.88,483.42,3248.9,0
12.0,10.0,1.0,12.0,3.0,501.0,4444.0,0
6.4,11.4,0.0,2.21,3.79,310.0,6242.0,0
12.3,12.8,0.0,1.8,4.1,310.0,6400.0,0
24.0,30.0,0.0,21.4,14.7,850.0,8800.0,0
29.6,10.76,0.0,0.0,0.0,0.0,5.81,0
5.92,10.41,13.6,0.0,0.0,169.68,4806.0,0
102.38,271.83,0.0,0.0,2.18,136.72,2369.71,0
26.42,237.25,1.16,43.74,23.61,365.0,3858.0,0
126.0,490.0,0.0,2.1,8.5,320.0,5200.0,0
5.0,1.48,0.0,0.0,0.0,91.0,2100.0,0
10.3,13.9,0.0,2.0,3.9,350.0,7000.0,0
0.0,29.39,0.0,0.0,1.53,2.36,325.34,0
47.09,55.66,0.0,7.44,34.35,109.17,2633.93,0
44.95,8.08,1.85,1.02,0.42,45.54,432.07,0
0.0,37.08,3.23,0.0,0.0,32.9,1264.14,0
212.0,12.8,0.0,13.2,108.0,310.0,4600.0,0
24.3,8.9,0.0,13.2,3.0,1000.0,7700.0,0
9.64,12.72,0.0,2.24,4.6,328.0,6617.0,0
68.0,38.0,0.0,0.0,28.0,160.0,2280.0,0
3.02,0.0,0.0,23.56,1.9,54.56,2014.18,0
0.0,0.0,1.0,0.0,0.0,0.0,3572.0,0
21.4,14.4,0.0,16.7,5.7,820.0,7500.0,0
5.0,1.37,0.0,1.7,0.0,92.0,1910.0,0
39.8,21.3,0.0,10.8,5.5,1381.0,14649.6,0
166.61,10.81,0.0,5.67,21.57,151.65,1790.87,0
15.5,4.8,0.0,11.8,3.0,610.0,6300.0,0
31.1,216.1,0.0,0.1,0.9,75.7,1633.1,0
72.01,422.81,0.0,0.0,1.73,113.96,1357.42,0
276.44,735.68,0.0,0.0,2.99,245.07,1882.81,0
7.0,1.0,1.0,2.0,1.0,91.0,2935.0,0
12.8,11.9,0.0,14.9,4.8,590.0,7600.0,0
9.34,3.52,0.35,8.08,12.8,257.48,824.35,0
177.68,311.34,0.0,2.37,18.95,106.0,2745.0,0
1.0,1.0,0.0,0.0,0.0,1.0,328.0,0
22.0,5.0,0.0,4.0,0.0,432.0,2458.0,0
3.6,2.0,0.0,269.6,0.0,346.6,5513.6,0
20.1,37.0,0.0,0.0,1.59,770.0,3700.0,0
46.61,249.64,0.0,0.0,1.26,99.09,1169.35,0
192.57,7.27,8.66,0.0,25.75,121.54,1440.57,0
50.33,161.23,0.0,4.0,1.99,71.89,904.66,0
13.0,4.0,1.0,12.0,3.0,462.0,4863.0,0
5.0,1.45,2.0,10.8,0.0,88.0,1710.0,0
0.0,0.0,0.0,0.0,0.0,31.83,552.28,0
0.0,0.0,0.27,0.0,0.0,17.22,344.89,0
86.0,6.5,0.0,5.97,0.0,194.98,2202.6,0
86.0,6.5,0.0,5.97,0.0,194.98,2202.6,0
3.0,1.0,1.0,6.0,1.0,143.0,2935.0,0
290.0,5.5,0.0,10.7,56.0,480.0,6400.0,0
0.0,0.0,0.0,0.0,0.0,22.65,974.38,0
138.77,700.79,0.0,0.0,1.78,179.14,1622.15,0
3.0,1.0,14.55,10.0,1.0,136.0,2884.0,0
24.2,38.0,0.0,0.0,1.57,830.0,3500.0,0
59.17,7.9,0.0,12.09,0.0,246.57,1997.88,0
38.99,225.96,0.0,0.0,1.31,62.07,981.15,0
4.0,0.0,0.0,0.0,0.0,4.0,196.0,0
280.0,16.6,1.0,13.5,120.0,380.0,5000.0,0
0.0,0.0,10.47,5.42,1.89,68.81,5612.16,0
1.0,1.0,1.0,8.0,1.0,42.0,987.0,0
0.13,0.53,0.0,0.5,0.92,1.76,180.0,0
72.98,223.96,0.0,0.0,1.82,74.8,1088.0,0
54.37,3.49,0.0,7.16,20.54,65.63,1451.33,0
134.0,15.7,0.0,11.4,126.0,212.0,4400.0,0
102.0,310.0,0.0,1.16,6.7,149.0,1490.0,0
12.69,4.45,0.0,0.0,0.0,247.69,1427.22,0
12.69,4.45,0.0,0.0,0.0,247.69,1427.22,0
0.0,0.0,2.0,1.7,0.0,37.0,2729.0,0
15.64,3.34,0.0,1.38,0.0,118.08,1197.8,0
4.0,2.0,0.0,0.0,0.0,40.0,859.0,0
13.61,0.45,0.0,0.25,0.55,1.48,179.0,0
429.34,3.22,0.0,2.45,0.0,128.9,1245.93,0
41.0,280.0,0.0,0.0,4.5,109.0,1280.0,0
5.1,2.6,1.7,2.2,2.0,46.0,1300.0,0
0.0,241.32,1.56,1.69,0.0,52.38,988.36,0
5.0,1.93,0.0,1.8,1.8,54.0,1480.0,0
4197.66,150.01,0.0,2.75,11.05,57.38,414.84,0
